,id1,id2,label
0,3024986,3024993,2
1,308643,727183,1
2,308643,587124,1
3,308643,481939,1
4,210006,308643,1
5,308643,942693,1
6,308643,460892,1
7,282431,308643,1
8,308643,628819,1
9,308643,861011,1
10,308643,340064,1
11,308643,892621,1
12,308643,812803,1
13,7667,308643,1
14,308643,523070,1
15,308643,945607,1
16,308643,645756,1
17,112491,308643,1
18,308643,333433,1
19,308643,320979,1
20,308643,800221,1
21,308643,888827,1
22,189777,308643,1
23,268806,308643,1
24,308643,653371,1
25,308643,555513,1
26,308643,860578,1
27,308643,778678,1
28,274159,308643,1
29,119263,308643,1
30,661,308643,1
31,308643,679959,1
32,308643,775729,1
33,308643,823074,1
34,131811,308643,1
35,308643,492619,1
36,181591,308643,1
37,308643,310580,1
38,308643,621591,1
39,204078,308643,1
40,100791,308643,1
41,235245,308643,1
42,81287,308643,1
43,308643,764085,1
44,308643,643933,1
45,308643,689011,1
46,308643,952242,1
47,308643,482330,1
48,308643,709767,1
49,308643,473797,1
50,62362,308643,1
51,308643,569269,1
52,308643,364438,1
53,308643,736738,1
54,238176,308643,1
55,308643,480017,1
56,308643,608747,1
57,9563,308643,1
58,308643,680174,1
59,257201,308643,1
60,308643,601526,1
61,308643,941896,1
62,308643,820872,1
63,308643,859157,1
64,146579,308643,1
65,308643,935017,1
66,308643,310182,1
67,280040,308643,1
68,308643,604392,1
69,308643,420619,1
70,308643,922476,1
71,308643,838844,1
72,308643,778641,1
73,308643,441377,1
74,137600,308643,1
75,308643,649639,1
76,308643,737699,1
77,120730,308643,1
78,91017,308643,1
79,308643,704314,1
80,149935,308643,1
81,38361,308643,1
82,308643,682785,1
83,308643,849586,1
84,308643,433062,1
85,308643,413237,1
86,120707,308643,1
87,308643,543096,1
88,272355,308643,1
89,308643,615902,1
90,253661,308643,1
91,47756,308643,1
92,308643,520600,1
93,161760,308643,1
94,308643,431827,1
95,308643,756962,1
96,308643,765103,1
97,308643,536114,1
98,145197,308643,1
99,44823,308643,1
100,308643,860848,1
101,276152,322658,1
102,322658,372172,1
103,322658,494226,1
104,587124,727183,1
105,481939,727183,1
106,210006,727183,1
107,727183,942693,1
108,460892,727183,1
109,282431,727183,1
110,628819,727183,1
111,727183,861011,1
112,340064,727183,1
113,727183,892621,1
114,727183,812803,1
115,7667,727183,1
116,523070,727183,1
117,727183,945607,1
118,645756,727183,1
119,112491,727183,1
120,333433,727183,1
121,320979,727183,1
122,727183,800221,1
123,727183,888827,1
124,189777,727183,1
125,268806,727183,1
126,653371,727183,1
127,555513,727183,1
128,727183,860578,1
129,727183,778678,1
130,274159,727183,1
131,119263,727183,1
132,661,727183,1
133,679959,727183,1
134,727183,775729,1
135,727183,823074,1
136,131811,727183,1
137,492619,727183,1
138,181591,727183,1
139,310580,727183,1
140,621591,727183,1
141,204078,727183,1
142,100791,727183,1
143,235245,727183,1
144,81287,727183,1
145,727183,764085,1
146,643933,727183,1
147,689011,727183,1
148,727183,952242,1
149,482330,727183,1
150,709767,727183,1
151,473797,727183,1
152,62362,727183,1
153,569269,727183,1
154,364438,727183,1
155,727183,736738,1
156,238176,727183,1
157,480017,727183,1
158,608747,727183,1
159,9563,727183,1
160,680174,727183,1
161,257201,727183,1
162,601526,727183,1
163,727183,941896,1
164,727183,820872,1
165,727183,859157,1
166,146579,727183,1
167,727183,935017,1
168,310182,727183,1
169,280040,727183,1
170,604392,727183,1
171,420619,727183,1
172,727183,922476,1
173,727183,838844,1
174,727183,778641,1
175,441377,727183,1
176,137600,727183,1
177,649639,727183,1
178,727183,737699,1
179,120730,727183,1
180,91017,727183,1
181,704314,727183,1
182,149935,727183,1
183,38361,727183,1
184,682785,727183,1
185,727183,849586,1
186,433062,727183,1
187,413237,727183,1
188,120707,727183,1
189,543096,727183,1
190,272355,727183,1
191,615902,727183,1
192,253661,727183,1
193,47756,727183,1
194,520600,727183,1
195,161760,727183,1
196,431827,727183,1
197,727183,756962,1
198,727183,765103,1
199,536114,727183,1
200,145197,727183,1
201,44823,727183,1
202,727183,860848,1
203,4623012,8793826,2
204,4623012,18623183,2
205,4623012,8625346,1
206,367770,4623012,1
207,4623012,14317425,1
208,4623012,18269745,2
209,4623012,7760801,2
210,4623012,12678589,2
211,4623012,18269744,1
212,2461168,4623012,1
213,4623012,21870537,2
214,4623012,8793825,1
215,4623012,4623013,2
216,4623012,11548511,2
217,4623012,16351775,1
218,4623012,7760800,1
219,831650,4623012,2
220,4623012,16224017,1
221,4623012,17456566,2
222,3768629,4623012,2
223,4623012,19142737,2
224,4623012,6814855,2
225,4623012,13783898,1
226,4623012,19584877,1
227,4623012,19584878,2
228,2711644,4623012,1
229,4623012,13028547,2
230,4623012,8778961,1
231,4623012,12172484,1
232,4623012,11319480,2
233,4623012,15571541,1
234,4623012,16466520,2
235,1458628,4623012,1
236,4623012,16388708,2
237,411630,4623012,1
238,4623012,16224018,2
239,4623012,14183084,2
240,3768628,4623012,1
241,831649,4623012,1
242,367771,4623012,2
243,4623012,6814854,1
244,4623012,18623182,1
245,2711645,4623012,2
246,1421557,4623012,1
247,4623012,12172485,2
248,4623012,14317426,2
249,1458629,4623012,2
250,4623012,15571542,2
251,250596,4623012,2
252,4623012,14183083,1
253,4623012,16466519,1
254,4623012,10287987,2
255,4623012,22246374,1
256,250595,4623012,1
257,4623012,7132185,1
258,4623012,6244937,2
259,4623012,9693856,1
260,4623012,6061403,2
261,948486,4623012,1
262,1421558,4623012,2
263,4623012,13902981,2
264,1966262,4623012,1
265,4623012,10287986,1
266,4623012,18731109,1
267,4623012,8612648,2
268,4623012,22246375,2
269,4623012,19142736,1
270,4623012,13783899,2
271,4623012,7132186,2
272,4623012,9693857,2
273,4623012,6244936,1
274,4623012,13028546,1
275,4623012,18731110,2
276,1966263,4623012,2
277,2532321,4623012,1
278,4623012,11319479,1
279,4623012,8778962,2
280,4623012,16388707,1
281,411631,4623012,2
282,4623012,13902980,1
283,4623012,8612647,1
284,4623012,19912848,2
285,4518933,4623012,1
286,4623012,12678588,1
287,4623012,21870536,1
288,4623012,21488869,2
289,4623012,11548510,1
290,2532322,4623012,2
291,4623012,16351776,2
292,4471000,4623012,1
293,4623012,17456565,1
294,4623012,19912847,1
295,4518934,4623012,2
296,4623012,9088422,1
297,4623012,12614305,1
298,4623012,22993367,1
299,4623012,21488868,1
300,948487,4623012,2
301,4623012,6061402,1
302,4623012,8625347,2
303,4471001,4623012,2
304,4623012,22993368,2
305,4623012,9088423,2
306,2362445,3613198,1
307,3613198,20654105,1
308,3613198,20544327,2
309,3613198,15461843,1
310,3613198,12232011,1
311,3239010,3613198,1
312,3613198,23390255,1
313,3613198,20806023,1
314,3613198,7237618,1
315,3613198,13121131,1
316,3613198,20310134,1
317,3613198,17984312,1
318,3613198,6319887,1
319,3613198,14876163,1
320,3613198,15831694,1
321,3613198,21285620,1
322,978946,3613198,1
323,3613198,11066056,1
324,3613198,12728035,1
325,3613198,21457925,1
326,3613198,13396233,1
327,16458722,17467778,1
328,8805649,17467778,1
329,9604063,17467778,1
330,4193496,17467778,1
331,5102753,17467778,1
332,983037,17467778,1
333,3978711,17467778,1
334,7019245,17467778,1
335,8793826,18623183,1
336,8625346,8793826,2
337,367770,8793826,2
338,8793826,14317425,2
339,8793826,18269745,1
340,7760801,8793826,1
341,8793826,12678589,1
342,8793826,18269744,2
343,2461168,8793826,2
344,8793826,21870537,1
345,8793825,8793826,2
346,4623013,8793826,1
347,8793826,11548511,1
348,8793826,16351775,2
349,7760800,8793826,2
350,831650,8793826,1
351,8793826,16224017,2
352,8793826,17456566,1
353,3768629,8793826,1
354,8793826,19142737,1
355,6814855,8793826,1
356,8793826,13783898,2
357,8793826,19584877,2
358,8793826,19584878,1
359,2711644,8793826,2
360,8793826,13028547,1
361,8778961,8793826,2
362,8793826,12172484,2
363,8793826,11319480,1
364,8793826,15571541,2
365,8793826,16466520,1
366,1458628,8793826,2
367,8793826,16388708,1
368,411630,8793826,2
369,8793826,16224018,1
370,8793826,14183084,1
371,3768628,8793826,2
372,831649,8793826,2
373,367771,8793826,1
374,6814854,8793826,2
375,8793826,18623182,2
376,2711645,8793826,1
377,1421557,8793826,2
378,8793826,12172485,1
379,8793826,14317426,1
380,1458629,8793826,1
381,8793826,15571542,1
382,250596,8793826,1
383,8793826,14183083,2
384,8793826,16466519,2
385,8793826,10287987,1
386,8793826,22246374,2
387,250595,8793826,2
388,7132185,8793826,2
389,6244937,8793826,1
390,8793826,9693856,2
391,6061403,8793826,1
392,948486,8793826,2
393,1421558,8793826,1
394,8793826,13902981,1
395,1966262,8793826,2
396,8793826,10287986,2
397,8793826,18731109,2
398,8612648,8793826,1
399,8793826,22246375,1
400,8793826,19142736,2
401,8793826,13783899,1
402,7132186,8793826,1
403,8793826,9693857,1
404,6244936,8793826,2
405,8793826,13028546,2
406,8793826,18731110,1
407,1966263,8793826,1
408,2532321,8793826,2
409,8793826,11319479,2
410,8778962,8793826,1
411,8793826,16388707,2
412,411631,8793826,1
413,8793826,13902980,2
414,8612647,8793826,2
415,8793826,19912848,1
416,4518933,8793826,2
417,8793826,12678588,2
418,8793826,21870536,2
419,8793826,21488869,1
420,8793826,11548510,2
421,2532322,8793826,1
422,8793826,16351776,1
423,4471000,8793826,2
424,8793826,17456565,2
425,8793826,19912847,2
426,4518934,8793826,1
427,8793826,9088422,2
428,8793826,12614305,2
429,8793826,22993367,2
430,8793826,21488868,2
431,948487,8793826,1
432,6061402,8793826,2
433,8625347,8793826,1
434,4471001,8793826,1
435,8793826,22993368,1
436,8793826,9088423,1
437,16082064,20987164,1
438,8625346,18623183,2
439,367770,18623183,2
440,14317425,18623183,2
441,18269745,18623183,1
442,7760801,18623183,1
443,12678589,18623183,1
444,18269744,18623183,2
445,2461168,18623183,2
446,18623183,21870537,1
447,8793825,18623183,2
448,4623013,18623183,1
449,11548511,18623183,1
450,16351775,18623183,2
451,7760800,18623183,2
452,831650,18623183,1
453,16224017,18623183,2
454,17456566,18623183,1
455,3768629,18623183,1
456,18623183,19142737,1
457,6814855,18623183,1
458,13783898,18623183,2
459,18623183,19584877,2
460,18623183,19584878,1
461,2711644,18623183,2
462,13028547,18623183,1
463,8778961,18623183,2
464,12172484,18623183,2
465,11319480,18623183,1
466,15571541,18623183,2
467,16466520,18623183,1
468,1458628,18623183,2
469,16388708,18623183,1
470,411630,18623183,2
