23761422,23761431
23717985,23725701
23761218,23761275
23713473,23720808
23716656,23721352
23719111,23719489
23716682,23728795
23761811,23761812
23720856,23721060
23713947,23719216
23716741,23718170
23719258,23725305
23718148,23725839
23695459,23703349
23694802,23696910
23719405,23720727
23716629,23725839
23689127,23742357
23735052,23735126
23720565,23728775
23761102,23761383
23695377,23695536
23720592,23725485
23699600,23701079
23716870,23728934
23716489,23725401
23713832,23725401
23719447,23720926
23719573,23721066
23720725,23721352
23761239,23761251
23761176,23761443
23713834,23728683
23714299,23728936
23716373,23718226
23696820,23698508
23761157,23761383
23696859,23700370
23713974,23716954
23719769,23725647
23761128,23761170
23700614,23701791
23695195,23696859
23717939,23717962
23725918,23728250
23761066,23761173
23728186,23728250
23716491,23717893
23761377,23761512
23716741,23725752
23761134,23761332
23719426,23720700
23714025,23721063
23716604,23720592
23718226,23720985
23713473,23718434
23720590,23725780
23695325,23696820
23719447,23725809
23695035,23702259
23714001,23725305
23761197,23761401
23701079,23703349
23716452,23717913
23716744,23719300
23713581,23719426
23761287,23761389
23716571,23719132
23719132,23719321
23695150,23708250
23695738,23696046
23719466,23719487
23761302,23761329
23761218,23761310
23761148,23761176
23717962,23721354
23716923,23725752
23725698,23728169
23713723,23716923
23716899,23718411
23716489,23725347
23716571,23719384
23718102,23725455
23720562,23721174
23735066,23735076
23718224,23720671
23761042,23761188
23713807,23719744
23719216,23720592
23719235,23725839
23764809,23768014
23696059,23700285
23716658,23718104
23713777,23728933
23713831,23718193
23719258,23720673
23713699,23716872
23761197,23761491
23721117,23721348
23719468,23720619
23719193,23725455
23713832,23719508
23734331,23734405
23713635,23713726
23720833,23725347
23725780,23728270
23761224,23761443
23761075,23761407
23761212,23761325
23718295,23718341
23694789,23704015
23720862,23728660
23761287,23761302
23761176,23761404
23695338,23695364
23761054,23761230
23694935,23695995
23718316,23728250
23764805,23768008
23761197,23761334
23695751,23696046
23721096,23725841
23761063,23761325
23719237,23719426
23718249,23719321
23718081,23725893
23771254,23771301
23761188,23761410
23714299,23725755
23714296,23716655
23716545,23725647
23713753,23725868
23713753,23713861
23759100,23759264
23718272,23719321
23718295,23719174
23719216,23720565
23714297,23728154
23761206,23761350
23761194,23761512
23703349,23703819
