id1, id2
108845,742465
636262,665978
813588,852143
649639,892621
948487,16224018
431295,586503
689689,801395
411630,19584877
250595,2532321
119263,274159
305886,841724
47756,482330
210587,814473
567476,934048
235245,238176
93208,811157
755203,813913
7667,47756
81287,587124
653371,778678
860578,888827
9088423,15571542
7132185,14183083
4471000,12678588
120707,431827
81287,653371
340064,480017
303331,597134
755203,950938
119263,765103
520600,704314
81287,778641
206397,333109
562437,922376
831649,2461168
948486,22246374
11066056,20806023
621362,638963
340064,775729
543096,653371
47756,310580
146579,709767
274159,280040
530882,624490
567476,665978
44949,305886
13783898,13902980
15166511,20378673
87685,229795
14317426,22993368
302513,414463
292999,330216
978946,13396233
159804,569812
3978711,5102753
116038,530882
333109,594052
543575,742572
13028547,22246375
792644,841724
541185,580527
22246374,22993367
470160,689689
3108499,17551461
149935,649639
1884023,6795580
4988270,5828731
161844,332635
40044,567313
91017,679959
624490,777609
161760,823074
12728035,21285620
119263,838844
653371,945607
76427,859719
9324781,15797402
822452,934048
235245,523070
764085,942693
168607,820905
3768628,11319479
620855,943503
2461168,14317425
569269,679959
10851,346058
4471001,7760801
8625346,12614305
8625346,17456565
9563,849586
76427,854475
40044,709584
131811,679959
8793825,14317425
649595,949221
44823,653371
46158,567476
6788258,8024375
33845,841724
7541432,21955002
3768629,13902981
255765,7225732
569812,859719
1977837,23403205
813913,841724
181591,431827
420619,649639
166421,691010
254725,848240
481939,812803
120707,523070
91017,849586
4518934,6814855
217484,952021
308643,615902
47756,131811
332635,597134
280040,709767
8385785,8921716
272355,280040
567476,810724
137780,751335
13908,841792
447509,574279
300397,530882
441377,481939
530882,801395
801395,854262
604392,645756
649595,709584
112491,308643
112491,181591
831650,21488869
87685,726934
98368,411595
9693857,16351776
12606395,21636561
604392,608747
161844,303331
253661,849586
12678588,22993367
628819,849586
272355,653371
574279,859719
98368,211061
620855,738946
4518934,16351776
47756,682785
228865,562437
473797,922476
10298747,17224030
392357,691010
530882,946865
597134,653541
643933,645756
228925,288978
119263,604392
44823,272355
92552,303331
638963,820905
16224017,18269744
303331,777609
597134,896284
189777,340064
204078,268806
7132186,18731110
18960732,19267604
364438,420619
567313,621362
601526,682785
838844,922476
10851,258490
288978,305886
636262,811157
91017,181591
8024375,17224030
161760,431827
217484,665420
40044,689689
238176,679959
305886,567476
431827,601526
10851,662799
320979,778641
520600,888827
16224018,18269745
16351775,17456565
415583,483411
213301,258490
608747,812803
415583,665420
4224228,7317602
161760,492619
116038,288978
91017,149935
643933,860848
447509,576772
1966262,8793825
628819,778641
361255,373792
228925,896284
608747,736738
92552,330216
10287987,13902981
223631,228925
130757,801395
433062,860578
88047,638963
106595,211061
17551461,19868933
3239010,14876163
120707,679959
1966262,15571541
346058,832329
310182,320979
250596,16388708
62362,543096
709584,896284
238176,473797
420619,765103
12678588,18623182
592607,614099
266571,430406
800221,941896
8009241,22281203
282431,778678
120730,467550
272355,320979
161760,441377
2533570,10298747
16466519,22246374
5102753,8805649
621362,709584
161844,896372
704314,859157
119263,536114
161844,624490
793635,832329
983037,4193496
431295,814473
11319479,19912847
4518934,10287987
330216,820905
100791,272355
100791,310182
523070,823074
9693856,13783898
16466520,19912848
601526,778678
33845,93208
4471000,21488868
6244936,8793825
81287,253661
272875,662799
793635,810884
116038,751335
19474501,23465746
38361,137600
2362445,20310134
300397,801395
523070,543096
330930,369572
257201,643933
189777,204078
751335,950938
268806,280040
530882,755203
492619,823074
346058,813913
223631,370982
9186582,19999376
812803,892621
6244937,16466520
272875,414463
78966,300397
161760,935017
339301,370982
530882,536222
2532321,11319479
14317425,17456565
480017,628819
9088422,13783898
7760800,9693856
186569,940862
534739,814473
333433,628819
4471001,19584878
15500892,17224030
320979,340064
131811,480017
184741,330216
481939,569269
302513,649595
431295,810884
420619,621591
367770,18731109
161760,838844
90593,323161
235245,280040
15461843,15831694
145197,621591
282431,601526
78966,841724
413620,427727
204078,849586
413562,811157
169201,664803
481939,523070
204078,645756
7760801,16351776
210006,649639
1421558,1458629
302513,470160
470160,792644
367771,1421558
709584,801395
161760,536114
413237,569269
46158,93208
40044,288978
483411,506382
4471000,8778961
126187,536614
235245,460892
282431,433062
346058,470160
9088422,12678588
340064,601526
792644,801395
364438,587124
238176,280040
638963,709584
709584,950938
305886,346058
831649,21870536
305886,792644
396354,592607
704314,737699
460892,604392
130757,597134
100791,800221
2199604,19999376
13902981,17456566
184741,792644
536114,621591
534739,665978
778641,888827
792644,793635
420619,604392
569812,922376
849586,922476
13974204,23161545
330216,431295
47337,908793
480017,543096
358893,841792
14317426,19584878
211061,917011
12760982,19498017
367771,16224018
